index,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
523,THP Light (2006),American Blonde Ale,12.0 oz. Alumi-Tek,,N/A,497,Cans Bar and Canteen,Charlotte,NC
524,THP Dark (2006),English Dark Mild Ale,12.0 oz.,,N/A,497,Cans Bar and Canteen,Charlotte,NC
525,Imperial Pumpkin Stout,Pumpkin Ale,16.0 oz.,0.099,43,230,Cape Ann Brewing Company,Gloucester,MA
526,Dead-Eye DIPA,American Double / Imperial IPA,16.0 oz.,0.09,130,230,Cape Ann Brewing Company,Gloucester,MA
527,Fisherman's IPA,American IPA,12.0 oz,0.06%,64,230,Cape Ann Brewing Company,Gloucester,MA
528,Fisherman's Pils,German Pilsener,12.0 oz.,0.054,35,230,Cape Ann Brewing Company,Gloucester,MA
529,Fisherman's Brew,American Amber / Red Ale,12.0 ounce,0.06%,30,230,Cape Ann Brewing Company,Gloucester MA,
530,Cape Cod Red,American Amber / Red Ale,16.0 oz.,0.055,35,267,Cape Cod Beer,Hyannis,MA
531,Beach Blonde,American Blonde Ale,16.0 oz.,0.05%,10,267,Cape Cod Beer,Hyannis,MA
532,Dark Voyage Black IPA (2013),American Black Ale,12.0 oz,0.065,80,192,Capital Brewery,Middleton,WI
533,Wisconsin Amber,Vienna Lager,12.0 ounce,0.052,28,192,Capital Brewery,Middleton,WI
534,Lake House,Munich Helles Lager,12.0 oz.,0.05%,18,192,Capital Brewery,Middleton,WI
535,Ghost Ship White IPA,American IPA,12.0 ounce,0.056,55,192,Capital Brewery,Middleton,WI
536,Lake House,Munich Helles Lager,16.0 OZ.,0.046,18,192,Capital Brewery,Middleton,WI
537,Mutiny IPA,American IPA,12.0 oz.,0.062,70,192,Capital Brewery,Middleton,WI
538,Wisconsin Amber (1998),Vienna Lager,12.0 ounce,0.05%,N/A,192,Capital Brewery,Middleton,WI
539,Island Wheat,American Pale Wheat Ale,12.0 oz.,0.04%,N/A,192,Capital Brewery,Middleton,WI
540,Wisconsin Amber (2013),Vienna Lager,12.0 ounce,0.052,N/A,192,Capital Brewery,Middleton,WI
541,U.S. Pale Ale,American Pale Ale (APA),12.0 ounce,0.05,N/A,192,Capital Brewery,Middleton,WI
542,Supper Club Lager,American Pale Lager,12.0 ounce,,N/A,192,Capital Brewery,Middleton,WI
543,Carolina Lighthouse (2007),American Blonde Ale,12.0 ounce,0.04,N/A,504,Carolina Beer & Beverage,Mooresville NC,
544,Carolina Blonde (2006),American Blonde Ale,12.0 ounce,0.05%,N/A,504,Carolina Beer & Beverage,Mooresville NC,
545,Carolina Blonde Light (2005),American Blonde Ale,12.0 oz,0.035,N/A,504,Carolina Beer & Beverage,Mooresville,NC
546,Santa's Secret,Winter Warmer,16.0 oz,0.059,22,179,Carolina Brewery,Pittsboro,NC
547,Flagship IPA,English India Pale Ale (IPA),12.0 oz.,0.06%,N/A,179,Carolina Brewery,Pittsboro,NC
548,Sky Blue Golden Ale,Kölsch,12.0 oz.,0.051,N/A,179,Carolina Brewery,Pittsboro,NC
549,Epitome,American Black Ale,16.0 oz.,0.099,100,222,Carton Brewing Company,Atlantic Highlands,NJ
550,Monkey Chased the Weasel,Berliner Weissbier,16.0 ounce,0.039,9,222,Carton Brewing Company,Atlantic Highlands,NJ
551,077XX,American Double / Imperial IPA,16.0 oz,0.078,80,222,Carton Brewing Company,Atlantic Highlands NJ,
552,Boat Beer,American IPA,12.0 oz.,0.042,35,222,Carton Brewing Company,Atlantic Highlands,NJ
553,Granny Smith Hard Apple Cider,Cider,16.0 oz.,0.069,N/A,404,Cascadia Ciderworks United,Portland,OR
554,Dry Hard Apple Cider,Cider,16.0 oz,0.069,N/A,404,Cascadia Ciderworks United,Portland,OR
555,Farmer Ted's Cream Ale,Cream Ale,12.0 oz,0.056,N/A,331,Catawba Brewing Company,Morganton,NC
556,Firewater India Pale Ale,American IPA,12.0 ounce,0.052,N/A,331,Catawba Brewing Company,Morganton,NC
557,White Zombie Ale,Witbier,12.0 oz.,0.047,N/A,331,Catawba Brewing Company,Morganton,NC
558,King Winterbolt Winter Ale,Winter Warmer,12.0 oz. Alumi-Tek,0.07,N/A,331,Catawba Brewing Company,Morganton,NC
559,White Zombie Ale,Witbier,12.0 OZ.,0.047,N/A,331,Catawba Brewing Company,Morganton,NC
560,Firewater India Pale Ale,American IPA,12.0 oz.,0.052,N/A,331,Catawba Brewing Company,Morganton,NC
561,Farmer Ted's Farmhouse Cream Ale,Cream Ale,12.0 oz.,0.056,N/A,331,Catawba Brewing Company,Morganton,NC
562,Whitecap Wit,Witbier,16.0 ounce,0.048,16,285,Catawba Island Brewing,Port Clinton,OH
563,Seiche Scottish Ale,Scottish Ale,16.0 OZ.,0.078,16,285,Catawba Island Brewing,Port Clinton,OH
564,Peanut Butter Jelly Time,American Brown Ale,12.0 oz,0.06%,N/A,96,Catawba Valley Brewing Company,Morganton,NC
565,King Coconut,American Porter,12.0 oz,0.054,N/A,96,Catawba Valley Brewing Company,Morganton,NC
566,Gone A-Rye,American Double / Imperial IPA,16.0 oz.,0.085,90,29,Cedar Creek Brewery,Seven Points,TX
567,Special Release,,16.0 oz.,,N/A,29,Cedar Creek Brewery,Seven Points,TX
568,Dankosaurus,American IPA,16.0 oz,0.07%,70,29,Cedar Creek Brewery,Seven Points,TX
569,Scruffy's Smoked Alt,Smoked Beer,16.0 oz.,0.05%,35,29,Cedar Creek Brewery,Seven Points,TX
570,Elliott's Phoned Home Pale Ale,American Pale Ale (APA),16.0 oz,0.05%,36,29,Cedar Creek Brewery,Seven Points,TX
571,The Lawn Ranger,Cream Ale,16.0 oz.,0.05,18,29,Cedar Creek Brewery,Seven Points,TX
572,All American Blonde Ale,American Blonde Ale,12.0 ounce,0.05%,N/A,452,Centennial Beer Company,Edwards,CO
573,All American Red Ale,American Amber / Red Ale,12.0 oz,0.05,N/A,452,Centennial Beer Company,Edwards CO,
574,Main St. Virginia Ale,Altbier,12.0 ounce,0.05,40,122,Center of the Universe Brewing C...,Ashland,VA
575,Chin Music Amber Lager,American Amber / Red Lager,12.0 oz. Alumi-Tek,0.045,24,122,Center of the Universe Brewing C...,Ashland,VA
576,Main St. Virginia Ale,Altbier,12.0 ounce,0.05,40,122,Center of the Universe Brewing C...,Ashland,VA
577,Ray Ray’s Pale Ale,American Pale Ale (APA),12.0 OZ.,0.052,42,122,Center of the Universe Brewing C...,Ashland,VA
578,Chai Ale,Herbed / Spiced Beer,16.0 oz,0.051,15,350,Central Coast Brewing Company,San Luis Obispo,CA
579,Lucky Day IPA,American IPA,16.0 oz.,0.072,85,350,Central Coast Brewing Company,San Luis Obispo CA,
580,Terrace Hill Double IPA,American Double / Imperial IPA,16.0 oz.,0.095,99,350,Central Coast Brewing Company,San Luis Obispo,CA
581,Catch 23,American Black Ale,16.0 oz,0.075,77,350,Central Coast Brewing Company,San Luis Obispo,CA
582,Stickin' In My Rye,Rye Beer,24.0 oz,0.07,N/A,236,Champion Brewing Company,Charlottesville,VA
583,Black Me Stout,American Stout,12.0 OZ.,0.06,45,236,Champion Brewing Company,Charlottesville,VA
584,Killer Kolsch,Kölsch,12.0 oz,0.05,22,236,Champion Brewing Company,Charlottesville,VA
585,Missile IPA,American IPA,12.0 oz,0.07%,65,236,Champion Brewing Company,Charlottesville VA,
586,Enlighten,Kölsch,16.0 oz. Alumi-Tek,0.045,N/A,250,Chapman's Brewing,Angola,IN
587,Ale Cider,Fruit / Vegetable Beer,16.0 oz. Alumi-Tek,0.065,8,250,Chapman's Brewing,Angola,IN
588,Pail Ale,American Pale Ale (APA),16.0 oz.,0.055,30,250,Chapman's Brewing,Angola,IN
589,Englishman,English Brown Ale,16.0 oz.,0.05%,N/A,250,Chapman's Brewing,Angola IN,
590,8 Barrel,American Strong Ale,16.0 ounce,0.08%,69,226,Chatham Brewing,Chatham,NY
591,Oktoberfest,Märzen / Oktoberfest,16.0 ounce,0.055,40,226,Chatham Brewing,Chatham,NY
592,IPA #11,American IPA,16.0 oz,0.06%,58,121,Cheboygan Brewing Company,Cheboygan,MI
593,Blood Orange Honey,Fruit / Vegetable Beer,16.0 oz.,0.06%,10,121,Cheboygan Brewing Company,Cheboygan,MI
594,Lighthouse Amber,Altbier,16.0 ounce,0.052,N/A,121,Cheboygan Brewing Company,Cheboygan,MI
595,Bay of Bengal Double IPA (2014),American Double / Imperial IPA,12.0 oz.,0.089,126,99,Christian Moerlein Brewing Company,Cincinnati,OH
596,Churchkey Pilsner Style Beer,American Pilsner,12.0 oz,0.049,29,526,Churchkey Can Company,Seattle,WA
597,First Press,Cider,12.0 oz.,0.05,N/A,425,Ciderboys,Stevens Point,WI
598,Magic Apple,Cider,12.0 ounce,0.05%,N/A,425,Ciderboys,Stevens Point,WI
599,Cubano Espresso,Bock,12.0 oz.,0.055,25,141,Cigar City Brewing Company,Tampa,FL
600,Operation Homefront,American IPA,12.0 oz,0.062,65,141,Cigar City Brewing Company,Tampa,FL
601,Wandering Pelican,American Black Ale,12.0 oz.,0.082,65,141,Cigar City Brewing Company,Tampa,FL
602,Sugar Plum,American Brown Ale,12.0 oz,0.055,N/A,141,Cigar City Brewing Company,Tampa,FL
603,Oktoberfest,Märzen / Oktoberfest,12.0 oz.,0.055,N/A,141,Cigar City Brewing Company,Tampa,FL
604,Puppy's Breath Porter,American Porter,12.0 oz.,0.06,N/A,141,Cigar City Brewing Company,Tampa,FL
605,Happening Now,American IPA,12.0 oz. Alumi-Tek,0.045,N/A,141,Cigar City Brewing Company,Tampa,FL
606,Hopped on the High Seas (Hop #529),American IPA,12.0 oz. Silo Can,0.07,60,141,Cigar City Brewing Company,Tampa,FL
607,Hopped on the High Seas (Calypso),American IPA,12.0 ounce,0.07,60,141,Cigar City Brewing Company,Tampa,FL
608,Wiregrass Post-Prohibition Ale,American Pale Ale (APA),12.0 oz. Alumi-Tek,0.063,N/A,141,Cigar City Brewing Company,Tampa,FL
609,Dry-Hopped On The High Seas Caribbean-Style IPA,American IPA,12.0 oz.,0.07%,60,141,Cigar City Brewing Company,Tampa,FL
610,Hopped on the High Seas (Citra),American IPA,12.0 ounce,0.07,60,141,Cigar City Brewing Company,Tampa,FL
611,Hopped on the High Seas (Ahtanum),American IPA,12.0 oz.,0.07,60,141,Cigar City Brewing Company,Tampa,FL
612,Gwar Beer,American Pale Ale (APA),12.0 oz.,0.055,N/A,141,Cigar City Brewing Company,Tampa,FL
613,Tropical Heatwave,American Pale Wheat Ale,16.0 oz,0.052,N/A,141,Cigar City Brewing Company,Tampa,FL
614,Humidor Series India Pale Ale,American IPA,12.0 oz,0.075,70,141,Cigar City Brewing Company,Tampa,FL
615,Jai Alai IPA Aged on White Oak,American IPA,12.0 ounce,0.075,70,141,Cigar City Brewing Company,Tampa,FL
616,José Martí American Porter,American Porter,12.0 oz,0.08,65,141,Cigar City Brewing Company,Tampa,FL
617,Invasion Pale Ale,American Pale Ale (APA),12.0 oz,0.05%,N/A,141,Cigar City Brewing Company,Tampa,FL
618,Maduro Brown Ale,English Brown Ale,12.0 ounce,0.055,25,141,Cigar City Brewing Company,Tampa FL,
619,Maduro Brown Ale,American Brown Ale,12.0 oz,0.06%,25,141,Cigar City Brewing Company,Tampa,FL
620,Hotter Than Helles Lager,Munich Helles Lager,12.0 oz.,0.05%,N/A,141,Cigar City Brewing Company,Tampa,FL
621,Tocobaga Red Ale,American Amber / Red Ale,12.0 oz,0.07%,75,141,Cigar City Brewing Company,Tampa,FL
622,Jai Alai IPA,American IPA,12.0 oz,0.075,70,141,Cigar City Brewing Company,Tampa,FL
623,Florida Cracker Belgian Wit,Witbier,12.0 oz. Alumi-Tek,0.05%,18,141,Cigar City Brewing Company,Tampa,FL
624,Shark Tracker Light lager,Light Lager,12.0 oz.,0.048,N/A,145,Cisco Brewers,Nantucket,MA
625,Pumple Drumkin,Pumpkin Ale,12.0 oz,0.06,N/A,145,Cisco Brewers,Nantucket,MA
626,Grey Lady,Witbier,12.0 oz.,0.045,N/A,145,Cisco Brewers,Nantucket,MA
627,Summer of Lager,Munich Helles Lager,12.0 oz.,0.06%,N/A,145,Cisco Brewers,Nantucket,MA
628,Indie Pale Ale,American IPA,12.0 oz,0.065,N/A,145,Cisco Brewers,Nantucket,MA
629,Sankaty Light Lager,Light Lager,12.0 oz.,0.04%,N/A,145,Cisco Brewers,Nantucket,MA
630,Whale's Tale Pale Ale,English Pale Ale,12.0 oz.,0.06%,N/A,145,Cisco Brewers,Nantucket,MA
631,Jacaranada Rye IPA,American IPA,16.0 oz.,0.067,60,320,Claremont Craft Ales,Claremont,CA
632,Cascadian Dark Ale,American Black Ale,12.0 oz,0.06%,75,418,Coalition Brewing Company,Portland,OR
633,Wheat the People,American Pale Wheat Ale,16.0 oz,0.044,13,418,Coalition Brewing Company,Portland,OR
634,Tybee Island Blonde,American Blonde Ale,12.0 oz,0.047,17,415,Coastal Empire Beer Company,Savannah,GA
635,Savannah Brown Ale,American Brown Ale,12.0 ounce,0.062,55,415,Coastal Empire Beer Company,Savannah,GA
636,Rhode Island Blueberry,Kölsch,12.0 ounce,0.046,11,101,Coastal Extreme Brewing Company,Newport,RI
637,Newport Storm IPA,American IPA,12.0 ounce,0.065,75,101,Coastal Extreme Brewing Company,Newport,RI
638,Hurricane Amber Ale (2004),American Amber / Red Ale,12.0 oz.,0.052,24,101,Coastal Extreme Brewing Company,Newport,RI
639,Hurricane Amber Ale,American Amber / Red Ale,12.0 oz,0.052,24,101,Coastal Extreme Brewing Company,Newport,RI
640,Big Blue Van,Fruit / Vegetable Beer,16.0 OZ.,0.058,N/A,232,College Street Brewhouse and Pub,Lake Havasu City,AZ
641,Des Moines IPA,American IPA,16.0 ounce,0.068,75,482,Confluence Brewing Company,Des Moines,IA
642,Capital Gold Golden Lager,German Pilsener,16.0 ounce,0.048,22,482,Confluence Brewing Company,Des Moines,IA
643,Farmer John's Multi-Grain Ale,American Blonde Ale,16.0 oz.,0.056,21,482,Confluence Brewing Company,Des Moines IA,
644,Behemoth,American Pilsner,12.0 oz.,0.05,N/A,139,Core Brewing & Distilling Company,Springdale,AR
645,Arkansas Red,American Amber / Red Ale,12.0 oz,0.052,N/A,139,Core Brewing & Distilling Company,Springdale,AR
646,Core Oatmeal Stout,Oatmeal Stout,12.0 ounce,0.057,N/A,139,Core Brewing & Distilling Company,Springdale,AR
647,Core ESB,Extra Special / Strong Bitter (ESB),12.0 oz.,0.061,N/A,139,Core Brewing & Distilling Company,Springdale AR,
648,Chester's Beer (2005),American Pale Lager,12.0 oz,0.038,N/A,512,Cottrell Brewing,Pawcatuck,CT
649,Heiner Brau Kölsch,Kölsch,12.0 ounce,0.05%,N/A,553,Covington Brewhouse,Covington,LA
650,Trigger Blonde Ale,American Blonde Ale,16.0 oz.,0.05%,N/A,515,Crabtree Brewing Company,Greeley,CO
651,Crabtree Oatmeal Stout,Oatmeal Stout,16.0 oz,0.08%,29,515,Crabtree Brewing Company,Greeley,CO
652,Eclipse Black IPA,American Black Ale,16.0 oz.,0.077,71,515,Crabtree Brewing Company,Greeley,CO
653,Neomexicanus Native,American Pale Ale (APA),12.0 OZ.,0.06,46,63,Crazy Mountain Brewing Company,Edwards,CO
654,Old Soul,Belgian Strong Pale Ale,12.0 oz,0.08%,25,63,Crazy Mountain Brewing Company,Edwards,CO
655,Snowcat Coffee Stout,American Stout,12.0 oz. Alumi-Tek,0.059,N/A,63,Crazy Mountain Brewing Company,Edwards,CO
656,WinterWonderGrass Festival Ale,American Amber / Red Ale,12.0 oz.,,N/A,63,Crazy Mountain Brewing Company,Edwards,CO
657,Boohai Red Ale,American Amber / Red Ale,12.0 ounce,,N/A,63,Crazy Mountain Brewing Company,Edwards,CO
658,Lava Lake Wit,Witbier,12.0 oz.,0.052,15,63,Crazy Mountain Brewing Company,Edwards,CO
659,Mountain Livin' Pale Ale,American Pale Ale (APA),12.0 ounce,0.06,N/A,63,Crazy Mountain Brewing Company,Edwards,CO
660,Crazy Mountain Amber Ale,American Amber / Red Ale,12.0 ounce,0.052,25,63,Crazy Mountain Brewing Company,Edwards,CO
661,Tropicalia,American IPA,12.0 oz.,0.065,65,247,Creature Comforts,Athens,GA
662,Athena,Berliner Weissbier,12.0 ounce,0.05%,N/A,247,Creature Comforts,Athens,GA
663,Aviator Raspberry Blonde,American Blonde Ale,12.0 oz.,0.05%,25,169,Crooked Fence Brewing Company,Garden City,ID
664,3 Picket Porter,American Porter,12.0 oz.,0.06%,N/A,169,Crooked Fence Brewing Company,Garden City,ID
665,Rusty Nail Pale Ale,American Pale Ale (APA),12.0 oz,0.056,N/A,169,Crooked Fence Brewing Company,Garden City,ID
666,Red Water Irish Style Red,American Amber / Red Ale,12.0 OZ.,0.065,N/A,212,Crow Peak Brewing Company,Spearfish,SD
667,Mjöllnir,Herbed / Spiced Beer,12.0 oz,0.066,N/A,212,Crow Peak Brewing Company,Spearfish,SD
668,Bear Butte Nut Brown Ale,American Brown Ale,12.0 oz.,0.06%,N/A,212,Crow Peak Brewing Company,Spearfish,SD
669,Easy Livin' Summer Ale,American Blonde Ale,12.0 oz,0.045,N/A,212,Crow Peak Brewing Company,Spearfish,SD
670,Canyon Cream Ale,Cream Ale,12.0 ounce,0.06%,N/A,212,Crow Peak Brewing Company,Spearfish,SD
671,Pile O'Dirt Porter,American Porter,12.0 oz,0.069,N/A,212,Crow Peak Brewing Company,Spearfish,SD
672,11th Hour IPA,American IPA,12.0 oz.,0.06,N/A,212,Crow Peak Brewing Company,Spearfish,SD
673,South Ridge Amber Ale,American Amber / Red Ale,16.0 oz.,0.06%,31,472,Crystal Springs Brewing Company,Boulder,CO
674,Summertime Ale,Kölsch,16.0 oz,0.052,23,472,Crystal Springs Brewing Company,Boulder,CO
675,Lost River Blonde Ale,American Blonde Ale,16.0 oz,0.05%,N/A,315,Cutters Brewing Company,Avon,IN
676,Monon Wheat,Witbier,16.0 oz.,0.054,N/A,315,Cutters Brewing Company,Avon,IN
677,Floyd's Folly,Scottish Ale,16.0 oz,0.08,N/A,315,Cutters Brewing Company,Avon,IN
678,Half Court IPA,American IPA,16.0 oz.,0.063,N/A,315,Cutters Brewing Company,Avon,IN
679,Geary's Pale Ale,English Pale Ale,12.0 oz,0.05%,N/A,323,D.L. Geary Brewing Company,Portland,ME
680,Geary's Summer Ale,Kölsch,12.0 oz. Alumi-Tek,0.06%,N/A,323,D.L. Geary Brewing Company,Portland,ME
681,Stone of Arbroath,Scotch Ale / Wee Heavy,12.0 oz,0.08,N/A,227,DC Brau Brewing Company,Washington,DC
682,The Tradition,American Blonde Ale,12.0 oz,0.05%,15,227,DC Brau Brewing Company,Washington,DC
683,El Hefe Speaks,Hefeweizen,12.0 oz,0.053,11,227,DC Brau Brewing Company,Washington,DC
684,Penn Quarter Porter,American Porter,12.0 oz.,0.055,N/A,227,DC Brau Brewing Company,Washington,DC
685,On the Wings of Armageddon,American Double / Imperial IPA,12.0 oz.,0.092,115,227,DC Brau Brewing Company,Washington,DC
686,The Corruption,American IPA,12.0 oz.,0.07%,80,227,DC Brau Brewing Company,Washington,DC
687,The Citizen,Belgian Pale Ale,12.0 ounce,0.07,N/A,227,DC Brau Brewing Company,Washington,DC
688,The Public,American Pale Ale (APA),12.0 oz,0.06,N/A,227,DC Brau Brewing Company,Washington,DC
689,Dank IPA,American IPA,16.0 oz.,0.07%,N/A,451,Dad & Dude's Breweria,Aurora,CO
690,Dank IPA (2012),American IPA,16.0 ounce,0.07%,N/A,451,Dad & Dude's Breweria,Aurora,CO
691,Lift Off IPA,American IPA,16.0 ounce,0.07%,N/A,358,Daredevil Brewing Company,Shelbyville,IN
692,BrewFarm Select Golden Lager,American Pale Lager,12.0 oz.,0.055,N/A,554,Dave's Brewfarm,Wilson,WI
693,Sprocket Blonde Ale (2006),American Blonde Ale,12.0 oz,0.05,N/A,333,David's Ale Works,Diamond Springs,CA
694,Sprocket Pale Ale (2006),American Pale Ale (APA),12.0 oz,0.05,N/A,333,David's Ale Works,Diamond Springs,CA
695,Dead Armadillo Amber Ale,American Amber / Red Ale,12.0 ounce,0.06%,37,330,Dead Armadillo Craft Brewing,Tulsa,OK
696,Neato Bandito,Euro Pale Lager,12.0 ounce,0.06%,N/A,127,Deep Ellum Brewing Company,Dallas,TX
697,Oak Cliff Coffee Ale,American Brown Ale,12.0 oz.,0.08%,33,127,Deep Ellum Brewing Company,Dallas,TX
698,Dream Crusher Double IPA,American Double / Imperial IPA,12.0 oz,0.085,100,127,Deep Ellum Brewing Company,Dallas,TX
699,Deep Ellum Pale Ale,American Pale Ale (APA),12.0 oz,0.06%,N/A,127,Deep Ellum Brewing Company,Dallas,TX
700,Double Brown Stout,Baltic Porter,12.0 oz.,0.07,N/A,127,Deep Ellum Brewing Company,Dallas,TX
701,Farmhouse Wit,Saison / Farmhouse Ale,16.0 oz,0.048,25,127,Deep Ellum Brewing Company,Dallas,TX
702,Rye Pils Session Lager,German Pilsener,12.0 oz.,0.046,N/A,127,Deep Ellum Brewing Company,Dallas,TX
703,Dallas Blonde,American Blonde Ale,12.0 oz.,0.05%,23,127,Deep Ellum Brewing Company,Dallas,TX
704,Deep Ellum IPA,American IPA,12.0 oz,0.07,70,127,Deep Ellum Brewing Company,Dallas,TX
705,Thrasher Session India Pale Ale,American IPA,12.0 oz,0.045,44,283,Defiance Brewing Company,Hays,KS
706,Gutch English Style Mild Ale,English Pale Mild Ale,12.0 oz,0.05,16,283,Defiance Brewing Company,Hays,KS
707,Chuli Stout,Irish Dry Stout,12.0 ounce,0.059,55,453,Denali Brewing Company,Talkeetna,AK
708,Mother Ale,American Blonde Ale,12.0 oz.,0.056,46,453,Denali Brewing Company,Talkeetna,AK
709,Twister Creek India Pale Ale,American IPA,12.0 oz,0.065,71,453,Denali Brewing Company,Talkeetna,AK
710,Single Engine Red,Irish Red Ale,12.0 oz,0.058,46,453,Denali Brewing Company,Talkeetna,AK
711,Incredible Pedal IPA,American IPA,12.0 oz,0.07,N/A,263,Denver Beer Company,Denver,CO
712,Graham Cracker Porter,American Porter,12.0 oz.,0.05%,N/A,263,Denver Beer Company,Denver,CO
713,Mirror Pond Pale Ale,American Pale Ale (APA),12.0 oz.,0.05%,40,454,Deschutes Brewery,Bend,OR
714,Weissenheimer,Hefeweizen,12.0 oz,0.05%,16,57,Destihl Brewery,Bloomington,IL
715,Abbey's Single (2015- ),Abbey Single Ale,12.0 OZ.,0.05%,22,57,Destihl Brewery,Bloomington,IL
716,Vertex IPA,American IPA,12.0 ounce,0.06%,76,57,Destihl Brewery,Bloomington IL,
717,Here Gose Nothin',Gose,12.0 OZ.,0.05,12,57,Destihl Brewery,Bloomington IL,
718,Strawberry Blonde,Fruit / Vegetable Beer,12.0 oz.,0.05%,N/A,57,Destihl Brewery,Bloomington,IL
719,Hoperation Overload,American Double / Imperial IPA,12.0 oz.,0.096,85,57,Destihl Brewery,Bloomington,IL
720,Abbey's Single Ale (Current),Abbey Single Ale,12.0 ounce,0.05%,22,57,Destihl Brewery,Bloomington,IL
721,Bravo Four Point,American Pale Ale (APA),12.0 oz.,0.04%,45,237,Devil's Backbone Brewing Company,Lexington,VA
722,Striped Bass Pale Ale,American Pale Ale (APA),12.0 OZ.,0.052,26,237,Devil's Backbone Brewing Company,Lexington,VA
723,Deadicated Amber,American Amber / Red Ale,16.0 oz.,0.05%,27,491,Devil's Canyon Brewery,Belmont,CA
724,Kaleidoscope Collaboration 2012,American Black Ale,16.0 OZ.,,N/A,491,Devil's Canyon Brewery,Belmont CA,
725,California Sunshine Rye IPA,American IPA,16.0 oz,0.071,85,491,Devil's Canyon Brewery,Belmont,CA
726,Full Boar Scotch Ale,Scotch Ale / Wee Heavy,16.0 oz,0.074,12,491,Devil's Canyon Brewery,Belmont,CA
727,12 Man Pale Ale,American Pale Ale (APA),12.0 oz.,0.05%,N/A,319,Dick's Brewing Company,Centralia,WA
728,Filthy Hoppin' IPA,American IPA,16.0 ounce,0.07%,72,311,Dirty Bucket Brewing Company,Woodinville,WA
729,Dock Street Amber Beer (1992),American Amber / Red Ale,12.0 OZ.,,N/A,488,Dock Street Brewery,Philadelphia,PA
730,Dolores River Hefeweizen,Hefeweizen,16.0 oz. Alumi-Tek,,N/A,531,Dolores River Brewery,Dolores,CO
731,Dolores River ESB,Extra Special / Strong Bitter (ESB),16.0 oz.,,N/A,531,Dolores River Brewery,Dolores,CO
732,Snaggletooth Double Pale Ale,American Double / Imperial IPA,16.0 ounce,,N/A,531,Dolores River Brewery,Dolores,CO
733,Dolores River Pale Ale,American Pale Ale (APA),16.0 oz,,N/A,531,Dolores River Brewery,Dolores,CO
734,Dolores River Dry Stout,Irish Dry Stout,16.0 ounce,,N/A,531,Dolores River Brewery,Dolores,CO
735,Dolores River Mild,English Dark Mild Ale,16.0 oz,,N/A,531,Dolores River Brewery,Dolores,CO
736,Cranberry Blend,Cider,12.0 oz,0.049,N/A,446,Downeast Cider House,Leominster,MA
737,Orignal Blend,Cider,12.0 oz,0.051,N/A,446,Downeast Cider House,Leominster,MA
738,Hop Abomination,American IPA,12.0 OZ.,0.07%,100,496,Dry Dock Brewing Company,Aurora,CO
739,Apricot Blonde,Fruit / Vegetable Beer,12.0 ounce,0.051,17,496,Dry Dock Brewing Company,Aurora,CO
740,Dry Dock Hefeweizen,Hefeweizen,12.0 oz,0.043,12,496,Dry Dock Brewing Company,Aurora,CO
741,Dry Dock Amber Ale,American Amber / Red Ale,12.0 ounce,0.06%,49,496,Dry Dock Brewing Company,Aurora,CO
742,Category 3 IPA,American IPA,12.0 ounce,0.06%,64,340,Due South Brewing Company,Boynton Beach,FL
743,Dundee Summer Wheat Beer,American Pale Wheat Ale,12.0 oz.,0.05%,18,538,Dundee Brewing Company,Rochester,NY
744,Pumpkin Patch Ale,Pumpkin Ale,16.0 ounce,0.05,N/A,369,Eddyline Brewery & Restaurant,Buena Vista,CO
745,Crank Yanker IPA,American IPA,16.0 ounce,0.078,74,369,Eddyline Brewery & Restaurant,Buena Vista,CO
746,River Runners Pale Ale,American Pale Ale (APA),16.0 OZ.,0.06,N/A,369,Eddyline Brewery & Restaurant,Buena Vista,CO
747,Pumpkin Patch Ale (2012),Pumpkin Ale,16.0 oz.,0.05,N/A,369,Eddyline Brewery & Restaurant,Buena Vista,CO
748,Mountain Fairy Raspberry Wheat,Fruit / Vegetable Beer,16.0 ounce,0.055,N/A,369,Eddyline Brewery & Restaurant,Buena Vista,CO
749,Boater Beer,German Pilsener,16.0 ounce,0.045,N/A,369,Eddyline Brewery & Restaurant,Buena Vista,CO
750,Crank Yanker IPA (2011),American IPA,16.0 oz,0.078,74,369,Eddyline Brewery & Restaurant,Buena Vista,CO
751,Bleeding Buckeye Red Ale,Extra Special / Strong Bitter (ESB),16.0 oz.,0.06%,N/A,352,Elevator Brewing Company,Columbus,OH
752,Dottie Seattle Lager,American Amber / Red Lager,16.0 oz. Silo Can,0.049,25,516,Emerald City Beer Company,Seattle,WA
753,Nut Sack Imperial Brown Ale,American Brown Ale,12.0 ounce,0.07,N/A,465,Engine 15 Brewing,Jacksonville Beach,FL
754,Underachiever,American Adjunct Lager,16.0 ounce,0.05%,N/A,473,Engine House 9,Tacoma,WA
755,Lil' Brainless Raspberries,Fruit / Vegetable Beer,12.0 oz. Alumi-Tek,0.052,N/A,81,Epic Brewing,Denver,CO
756,Element 29,American Pale Ale (APA),12.0 oz,0.052,N/A,81,Epic Brewing,Denver,CO
757,Hop Syndrome,American Pale Lager,12.0 oz.,0.05%,N/A,81,Epic Brewing,Denver,CO
758,Escape to Colorado,American IPA,12.0 oz.,0.062,N/A,81,Epic Brewing,Denver,CO
759,Little Sister India Style Session Ale,American IPA,12.0 ounce,0.04%,60,170,Everybody's Brewing,White Salmon,WA
