beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
American India Red Ale,American Strong Ale,12,0.071,83,294,Black Shirt Brewing Company,Denver,CO
American Red Porter,American Porter,12,0.071,45,294,Black Shirt Brewing Company,Denver,CO
American Red Saison,Saison / Farmhouse Ale,12,0.078,34,294,Black Shirt Brewing Company,Denver,CO
Colorado Red Ale,American Amber / Red Ale,12,0.066,44,294,Black Shirt Brewing Company,Denver,CO
Saddle Bronc Brown Ale,American Brown Ale,12,0.05%,16,79,Black Tooth Brewing Company,Sheridan,WY
Bomber Mountain Amber Ale,American Amber / Red Ale,12,0.046,20,79,Black Tooth Brewing Company,Sheridan,WY
Flying Sailor,Rye Beer,12,0.07%,N/A,95,Blackrocks Brewery,Marquette,MA
Nordskye,American IPA,12,0.048,47,12,Blackrocks Brewery,Marquette,MI
North Third Stout,Foreign / Export Stout,12,0.06,30,12,Blackrocks Brewery,Marquette,MI
Honey Lav,American Pale Wheat Ale,12,0.052,N/A,12,Blackrocks Brewery,Marquette,MI
Coconut Brown Ale,American Brown Ale,12,0.068,N/A,12,Blackrocks Brewery,Marquette,MI
51K IPA,American IPA,12,0.07,51,12,Blackrocks Brewery,Marquette,MI
Grand Rabbits,Cream Ale,12,0.055,N/A,12,Blackrocks Brewery,Marquette,MI
1800 Big Log Wheat (2012),American Pale Wheat Ale,12,0.05%,N/A,380,Blue Blood Brewing Company,Lincoln,NE
Double Play Pilsner,American Pilsner,12,,N/A,380,Blue Blood Brewing Company,Lincoln,NE
Brewerhood Brown Ale,American Brown Ale,12,0.06%,N/A,380,Blue Blood Brewing Company,Lincoln,NE
Last Call Imperial Amber Ale,American Amber / Red Ale,12,0.08,N/A,380,Blue Blood Brewing Company,Lincoln,NE
Pernicious Double IPA,American Double / Imperial IPA,11.2,0.096,N/A,380,Blue Blood Brewing Company,Lincoln,NE
6-4-3 Double Play Pilsner,German Pilsener,12,0.052,N/A,380,Blue Blood Brewing Company,Lincoln,NE
N Street Drive-In 50th Anniversary IPA,American Double / Imperial IPA,12,,N/A,380,Blue Blood Brewing Company,Lincoln,NE
467 Ethan's Stout,American Stout,12,0.05,N/A,380,Blue Blood Brewing Company,Lincoln,NE
1335 Wicked Snout,Saison / Farmhouse Ale,12,0.064,N/A,380,Blue Blood Brewing Company,Lincoln,NE
543 Skull Creek Fresh Hopped Pale Ale,American Pale Ale (APA),12,0.045,N/A,380,Blue Blood Brewing Company,Lincoln,NE
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12,0.056,37,380,Blue Blood Brewing Company,Lincoln,NE
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),13.5,0.06%,37,380,Blue Blood Brewing Company,Lincoln,NE
1327 Pod's ESB,Extra Special / Strong Bitter (ESB),12,0.06%,37,380,Blue Blood Brewing Company,Lincoln,NE
834 Happy As Ale,American Pale Ale (APA),12,0.046,35,380,Blue Blood Brewing Company,Lincoln,NE
Yellow Collar,Mead,12,0.059,N/A,422,Blue Dog Mead,Eugene,OR
Green Collar,Mead,13.5,0.06%,N/A,422,Blue Dog Mead,Eugene,OR
Quarter Mile Double IPA,American Double / Imperial IPA,12,0.08%,80,304,Blue Hills Brewery,Canton MA,
Full Nelson Pale Ale,American Pale Ale (APA),12,0.059,60,382,Blue Mountain Brewery,Afton VA,
Steel Wheels ESB,Extra Special / Strong Bitter (ESB),8,0.065,30,382,Blue Mountain Brewery,Afton,VA
Blue Mountain Classic Lager,Euro Pale Lager,12,0.053,22,382,Blue Mountain Brewery,Afton,VA
Full Nelson Pale Ale (2010),American Pale Ale (APA),12,0.059,60,382,Blue Mountain Brewery,Afton,VA
Kölsch 151,Kölsch,12,0.049,16,414,Blue Mountain Brewery,Arrington,VA
Professor Black,American Stout,12,,N/A,77,Blue Owl Brewing,Austin,TX
Little Boss,American Pale Wheat Ale,12,,N/A,77,Blue Owl Brewing,Austin,TX
Van Dayum!,American Amber / Red Ale,12,,N/A,77,Blue Owl Brewing,Austin,TX
Spirit Animal,American Pale Ale (APA),12,,N/A,77,Blue Owl Brewing,Austin,TX
Toxic Sludge,American Black Ale,12,0.07,N/A,489,Blue Point Brewing Company,Patchogue,NY
Blue Point White IPA,American White IPA,12,0.06%,40,489,Blue Point Brewing Company,Patchogue,NY
Blue Point Summer Ale,American Blonde Ale,12,0.044,16,489,Blue Point Brewing Company,Patchogue,NY
Toasted Lager,Vienna Lager,12,0.055,28,489,Blue Point Brewing Company,Patchogue,NY
Bohemian Export Lager,Dortmunder / Export Lager,12,0.06,N/A,364,Bohemian Brewery,Midvale,UT
Altus Bohemes Altbier,Altbier,12,0.053,N/A,364,Bohemian Brewery,Midvale,UT
Cherny Bock,Schwarzbier,12,0.04,N/A,364,Bohemian Brewery,Midvale,UT
Czech Pilsner,Czech Pilsener,12,0.05%,N/A,364,Bohemian Brewery,Midvale,UT
Viennese Lager,Vienna Lager,12,0.05,N/A,364,Bohemian Brewery,Midvale,UT
Mad Manatee IPA,American IPA,12,0.065,N/A,378,Bold City Brewery,Jacksonville,FL
Killer Whale Cream Ale,Cream Ale,12,0.055,N/A,378,Bold City Brewery,Jacksonville,FL
Duke's Cold Nose Brown Ale,American Brown Ale,12,0.06%,N/A,378,Bold City Brewery,Jacksonville,FL
Longhop IPA,American IPA,12,0.04%,30,281,Bolero Snort Brewery,Ridgefield Park,NJ
Lucky Buck,Irish Dry Stout,12,0.04,34,281,Bolero Snort Brewery,Ridgefield Park,NJ
Bomb Lager (New Recipe),Munich Helles Lager,12,0.051,N/A,525,Bomb Beer Company,New York,NY
Bomb Lager (Old Recipe),Munich Helles Lager,12,0.045,27,525,Bomb Beer Company,New York,NY
Firestarter India Pale Ale,American IPA,12,0.066,72,107,Bonfire Brewing Company,Eagle,CO
Kilt Dropper Scotch Ale,Scotch Ale / Wee Heavy,12,0.075,22,107,Bonfire Brewing Company,Eagle,CO
Wood Splitter Pilsner,Czech Pilsener,12,0.048,30,107,Bonfire Brewing Company,Eagle,CO
Gyptoberfest,Märzen / Oktoberfest,12,0.056,26,107,Bonfire Brewing Company,Eagle,CO
Farmer Wirtz India Pale Ale,English India Pale Ale (IPA),12,0.07,94,107,Bonfire Brewing Company,Eagle,CO
Slow & Steady Golden Ale,American Blonde Ale,12,0.047,N/A,107,Bonfire Brewing Company,Eagle,CO
Pink-I Raspberry IPA,American IPA,12,0.068,N/A,107,Bonfire Brewing Company,Eagle,CO
Moe's Original Bar B Que 'Bama Brew Golden Ale,American Blonde Ale,12,0.047,N/A,107,Bonfire Brewing Company,Eagle,CO
Live Local Golden Ale,American Blonde Ale,12,0.047,N/A,107,Bonfire Brewing Company,Eagle,CO
Screaming Eagle Special Ale ESB,Extra Special / Strong Bitter (ESB),12,0.048,38,107,Bonfire Brewing Company,Eagle,CO
Dirtbag Dunkel,Munich Dunkel Lager,12,0.05%,N/A,107,Bonfire Brewing Company,Eagle,CO
Kindler Pale Ale,American Pale Ale (APA),12,0.053,45,107,Bonfire Brewing Company,Eagle,CO
Mistress Winter Wheat,Winter Warmer,12,0.06%,N/A,107,Bonfire Brewing Company,Eagle,CO
Tent Pole Vanilla Porter,American Porter,12,0.061,N/A,107,Bonfire Brewing Company,Eagle,CO
Awry Rye Pale Ale,American Pale Ale (APA),12,0.058,N/A,107,Bonfire Brewing Company,Eagle,CO
Demshitz Brown Ale,American Brown Ale,12,0.06%,N/A,107,Bonfire Brewing Company,Eagle,CO
Wood Splitter Pilsner (2012),Czech Pilsener,16,0.048,N/A,107,Bonfire Brewing Company,Eagle,CO
Brush Creek Blonde,American Blonde Ale,12,0.048,N/A,107,Bonfire Brewing Company,Eagle CO,
Firestarter India Pale Ale,American IPA,12,0.066,72,107,Bonfire Brewing Company,Eagle,CO
Noche Dulce,American Porter,12,0.071,16,231,Borderlands Brewing Company,Tucson,AZ
Porch Rocker,Radler,12,0.045,8,300,Boston Beer Company,Boston,MA
Rebel IPA,American IPA,12,0.065,45,300,Boston Beer Company,Boston,MA
Cold Snap,Witbier,12,0.055,N/A,300,Boston Beer Company,Boston,MA
Samuel Adams Winter Lager,Bock,12,0.06%,N/A,300,Boston Beer Company,Boston,MA
Boston Lager,Vienna Lager,12,0.049,30,300,Boston Beer Company,Boston,MA
Boston Lager,Vienna Lager,16,0.049,30,300,Boston Beer Company,Boston,MA
Samuel Adams Octoberfest,Märzen / Oktoberfest,12,0.053,15,300,Boston Beer Company,Boston,MA
Samuel Adams Summer Ale,American Pale Wheat Ale,8,0.053,7,300,Boston Beer Company,Boston,MA
Boston Lager,Vienna Lager,12,0.049,30,300,Boston Beer Company,Boston,MA
Hazed & Infused,American Pale Ale (APA),12,0.049,35,417,Boulder Beer Company,Boulder,CO
Hoopla Pale Ale,American Pale Ale (APA),12,0.057,35,417,Boulder Beer Company,Boulder,CO
Hazed & Infused (2010),American Pale Ale (APA),12,0.049,35,417,Boulder Beer Company,Boulder,CO
Heavy Lifting,American IPA,12,0.062,80,31,Boulevard Brewing Company,Kansas City,MO
1492,American Pale Ale (APA),12,0.065,N/A,167,Boxcar Brewing Company,West Chester,PA
Mango Ginger,American IPA,12,0.058,N/A,167,Boxcar Brewing Company,West Chester,PA
Passenger,English Dark Mild Ale,12,0.05%,N/A,167,Boxcar Brewing Company,West Chester,PA
Plum St. Porter,American Porter,12,0.06%,52,219,Bozeman Brewing Company,Bozeman,MT
Plum St. Porter,American Porter,12,0.057,52,219,Bozeman Brewing Company,Bozeman,MT
Bozone HopZone IPA,American IPA,12,0.07,80,219,Bozeman Brewing Company,Bozeman,MT
Bozone Hefe Weizen,Hefeweizen,12,0.06,25,219,Bozeman Brewing Company,Bozeman,MT
Bozone Select Amber Ale,American Amber / Red Ale,12,0.06%,N/A,219,Bozeman Brewing Company,Bozeman,MT
Evil Owl,American Amber / Red Ale,12,0.052,40,207,Branchline Brewing Company,San Antonio,TX
Post Time Kölsch,Kölsch,12,0.05,N/A,195,Breakside Brewery,Portland,OR
Agave Wheat,American Pale Wheat Ale,12,0.042,9,391,Breckenridge Brewery,Denver,CO
SummerBright Ale,American Pale Wheat Ale,12,0.045,15,391,Breckenridge Brewery,Denver,CO
Lucky U IPA,American IPA,12,0.06%,68,391,Breckenridge Brewery,Denver,CO
Avalanche Ale,American Amber / Red Ale,12,0.054,19,391,Breckenridge Brewery,Denver CO,
"You're My Boy, Blue",Fruit / Vegetable Beer,12,0.05,N/A,308,Brew Bus Brewing,Tampa,FL
Last Stop IPA,American IPA,12,0.072,60,308,Brew Bus Brewing,Tampa,FL
Rollin Dirty Red Ale,Irish Red Ale,12,0.05%,21,308,Brew Bus Brewing,Tampa,FL
Are Wheat There Yet?,American Pale Wheat Ale,12,0.055,28,308,Brew Bus Brewing,Tampa,FL
Insert Hop Reference,American Pale Ale (APA),12,0.06%,N/A,19,Brew Link Brewing,Plainfield IN,
Manitou Amber,American Amber / Red Ale,12,0.053,N/A,85,Brewery Terra Firma,Traverse City,MI
Belfort,Saison / Farmhouse Ale,12,0.067,N/A,10,Brewery Vivant,Grand Rapids,MI
Star Runner,Belgian Pale Ale,12,0.06,N/A,10,Brewery Vivant,Grand Rapids,MI
Tart Side of the Barrel,American Double / Imperial Stout,12,0.098,N/A,10,Brewery Vivant,Grand Rapids,MI
Linnaeus Mango IPA,American IPA,12,0.06,N/A,10,Brewery Vivant,Grand Rapids,MI
Beasts A'Burnin',Rauchbier,12,0.07,N/A,10,Brewery Vivant,Grand Rapids,MI
Verdun,Bière de Garde,16.9,0.077,N/A,10,Brewery Vivant,Grand Rapids,MI
Barrel Aged Triomphe,Belgian IPA,12,0.065,N/A,10,Brewery Vivant,Grand Rapids,MI
Cherry Doppelbock,Doppelbock,12,0.065,N/A,10,Brewery Vivant,Grand Rapids,MI
Tropical Saison,Saison / Farmhouse Ale,12,0.07%,N/A,10,Brewery Vivant,Grand Rapids,MI
Beach Patrol,Witbier,12,0.065,N/A,10,Brewery Vivant,Grand Rapids,MI
Nuit Serpent,Belgian IPA,12,0.05,N/A,10,Brewery Vivant,Grand Rapids,MI
Paris,Saison / Farmhouse Ale,12,0.09,N/A,10,Brewery Vivant,Grand Rapids,MI
The Grand Army,Belgian IPA,12,0.055,N/A,10,Brewery Vivant,Grand Rapids,MI
Acidulated Trip,Saison / Farmhouse Ale,11.2,0.059,N/A,10,Brewery Vivant,Grand Rapids,MI
Root Stock,Rye Beer,12,0.07%,N/A,10,Brewery Vivant,Grand Rapids,MI
Mind Games,Dunkelweizen,12,0.04%,N/A,10,Brewery Vivant,Grand Rapids,MI
Sous Chef,Belgian Strong Pale Ale,12,0.08%,N/A,10,Brewery Vivant,Grand Rapids,MI
Dubbelicious,Dubbel,12,0.065,N/A,10,Brewery Vivant,Grand Rapids,MI
Psychopomp,Belgian Dark Ale,12,0.06%,N/A,10,Brewery Vivant,Grand Rapids,MI
Fat Paczki,Belgian Dark Ale,12,,N/A,10,Brewery Vivant,Grand Rapids,MI
Earth-Like Planets,Belgian Pale Ale,16.9,,N/A,10,Brewery Vivant,Grand Rapids,MI
Ski Patrol,Witbier,12,0.061,N/A,10,Brewery Vivant,Grand Rapids,MI
Viking Ice Hole,Oatmeal Stout,12,0.063,N/A,10,Brewery Vivant,Grand Rapids MI,
Rye Porter,American Porter,12,0.06%,N/A,10,Brewery Vivant,Grand Rapids,MI
Wizard Burial Ground,Quadrupel (Quad),12,0.099,N/A,10,Brewery Vivant,Grand Rapids,MI
Smoky Wheat,Rauchbier,12,0.051,N/A,10,Brewery Vivant,Grand Rapids,MI
BRIPA,Belgian IPA,12,0.062,N/A,10,Brewery Vivant,Grand Rapids,MI
Mela,Belgian Dark Ale,12,0.062,N/A,10,Brewery Vivant,Grand Rapids,MI
W.I.P.A Snappa,Belgian IPA,12,0.053,N/A,10,Brewery Vivant,Grand Rapids,MI
Pepper in the Rye,Rye Beer,12,0.063,N/A,10,Brewery Vivant,Grand Rapids,MI
Moe Lasses',American Stout,12,0.064,N/A,10,Brewery Vivant,Grand Rapids,MI
Pumpkin Tart,Fruit / Vegetable Beer,12,0.07%,N/A,10,Brewery Vivant,Grand Rapids,MI
Undertaker,Belgian Dark Ale,13.5,0.07%,N/A,10,Brewery Vivant,Grand Rapids,MI
Undertaker (2014),Belgian Dark Ale,12,0.067,N/A,10,Brewery Vivant,Grand Rapids,MI
Coq D'Or,Belgian Pale Ale,12,0.05,N/A,10,Brewery Vivant,Grand Rapids,MI
North French,Bière de Garde,12,0.06,N/A,10,Brewery Vivant,Grand Rapids,MI
Agent a Deux,Belgian Dark Ale,12,0.065,N/A,10,Brewery Vivant,Grand Rapids,MI
Belgian Wit,Witbier,12,0.05%,N/A,10,Brewery Vivant,Grand Rapids,MI
Pothole Stout,American Stout,12,0.063,N/A,10,Brewery Vivant,Grand Rapids,MI
Tree Bucket,Belgian IPA,12,0.093,N/A,10,Brewery Vivant,Grand Rapids,MI
Le Flaneur Ale,American Wild Ale,12,0.073,N/A,10,Brewery Vivant,Grand Rapids,MI
Maize & Blueberry,Fruit / Vegetable Beer,12,0.06%,N/A,10,Brewery Vivant,Grand Rapids,MI
Trebuchet Double IPA,American Double / Imperial IPA,12,0.093,N/A,10,Brewery Vivant,Grand Rapids,MI
Contemplation,Bière de Garde,12,0.065,N/A,10,Brewery Vivant,Grand Rapids,MI
Black Rabbit,American Black Ale,12,0.05%,N/A,10,Brewery Vivant,Grand Rapids,MI
Zaison,Saison / Farmhouse Ale,12,0.09%,N/A,10,Brewery Vivant,Grand Rapids,MI
Vivant Tripel,Tripel,12,0.082,N/A,10,Brewery Vivant,Grand Rapids,MI
Tart Side of the Moon,Belgian Dark Ale,12,0.098,N/A,10,Brewery Vivant,Grand Rapids,MI
Big Red Coq,American Amber / Red Ale,12,0.06%,N/A,10,Brewery Vivant,Grand Rapids,MI
Hubris Quadrupel Anniversary Ale,Quadrupel (Quad),12,0.10%,N/A,10,Brewery Vivant,Grand Rapids,MI
Plow Horse Belgian Style Imperial Stout,American Double / Imperial Stout,12,0.095,N/A,10,Brewery Vivant,Grand Rapids,MI
Escoffier Bretta Ale,American Wild Ale,12,0.09%,N/A,10,Brewery Vivant,Grand Rapids,MI
Contemplation (2012),Bière de Garde,12,0.065,N/A,10,Brewery Vivant,Grand Rapids,MI
Vivant Belgian Style Imperial Stout (2012),Russian Imperial Stout,12,0.099,N/A,10,Brewery Vivant,Grand Rapids,MI
Big Red Coq (2012),American Amber / Red Ale,12,0.062,N/A,10,Brewery Vivant,Grand Rapids,MI
Zaison (2012),Saison / Farmhouse Ale,12,0.09,N/A,10,Brewery Vivant,Grand Rapids,MI
Vivant Tripel (2012),Tripel,12,0.092,N/A,10,Brewery Vivant,Grand Rapids,MI
Trebuchet Double IPA (2012),Belgian IPA,12,0.097,N/A,10,Brewery Vivant,Grand Rapids,MI
Kludde,Belgian Strong Dark Ale,12,0.085,N/A,10,Brewery Vivant,Grand Rapids,MI
Farm Hand,Saison / Farmhouse Ale,12,0.06%,N/A,10,Brewery Vivant,Grand Rapids,MI
Solitude,Belgian Pale Ale,11.2,0.06%,N/A,10,Brewery Vivant,Grand Rapids,MI
Triomphe,Belgian IPA,12,0.065,N/A,10,Brewery Vivant,Grand Rapids,MI
Tampa Pale Ale,American Pale Ale (APA),12,,N/A,467,Brindle Dog Brewing Company,Tampa Bay,FL
Orange Grove Wheat Ale,American Pale Wheat Ale,12,,N/A,467,Brindle Dog Brewing Company,Tampa Bay FL,
Broad Brook Ale,American Amber / Red Ale,12,0.061,N/A,89,Broad Brook Brewing LLC,East Windsor,CT
Northern Lights Amber Ale,American Amber / Red Ale,12,0.05,15,493,Broken Tooth Brewing Company,Anchorage,AK
Polar Pale Ale,American Pale Ale (APA),12,0.052,17,493,Broken Tooth Brewing Company,Anchorage,AK
Chugach Session Ale,Cream Ale,12,0.05%,N/A,493,Broken Tooth Brewing Company,Anchorage,AK
Fairweather IPA,American IPA,12,0.061,64,493,Broken Tooth Brewing Company,Anchorage,AK
East India Pale Ale,English India Pale Ale (IPA),12,0.07%,47,437,Brooklyn Brewery,Brooklyn,NY
Brooklyn Summer Ale,English Pale Mild Ale,16,0.045,N/A,437,Brooklyn Brewery,Brooklyn,NY
East India Pale Ale,English India Pale Ale (IPA),12,0.068,47,437,Brooklyn Brewery,Brooklyn,NY
Brooklyn Summer Ale (2011),English Pale Mild Ale,12,0.045,N/A,437,Brooklyn Brewery,Brooklyn,NY
Brooklyn Lager (16 oz.),American Amber / Red Lager,12,0.052,N/A,437,Brooklyn Brewery,Brooklyn NY,
Brooklyn Lager (12 oz.),American Amber / Red Lager,12,0.05%,N/A,437,Brooklyn Brewery,Brooklyn,NY
Tour de Nez Belgian IPA (Current),Belgian IPA,12,0.08%,N/A,530,Buckbean Brewing Company,Reno,NV
Roler Bock (Current),Maibock / Helles Bock,12,,N/A,530,Buckbean Brewing Company,Reno,NV
Black Adder IBA (Current),American Black Ale,12,0.073,85,530,Buckbean Brewing Company,Reno,NV
Very Noddy Lager (Current),Schwarzbier,12,0.099,N/A,530,Buckbean Brewing Company,Reno NV,
Tule Duck Red Ale (Current),American Amber / Red Ale,12,0.06%,42,530,Buckbean Brewing Company,Reno,NV
Original Orange Blossom Ale (Current),Herbed / Spiced Beer,12,0.06%,35,530,Buckbean Brewing Company,Reno,NV
Black Noddy Lager (Current),Schwarzbier,12,0.052,40,530,Buckbean Brewing Company,Reno,NV
Cleveland Beer Week 2013,Munich Helles Lager,12,0.05%,N/A,357,Buckeye Brewing,Cleveland,OH
Painted Turtle,American Pale Ale (APA),12,0.05%,N/A,56,BuckleDown Brewing,Lyons,IL
1836,American Blonde Ale,12,0.06,40,214,Buffalo Bayou Brewing Company,Houston TX,
Summer's Wit,Witbier,13.5,0.06,20,214,Buffalo Bayou Brewing Company,Houston,TX
More Cowbell,American Double / Imperial IPA,12,0.09,118,214,Buffalo Bayou Brewing Company,Houston,TX
Wrath of Pele,American Brown Ale,11.2,0.07%,N/A,24,Burn 'Em Brewing,Michigan City,IN
Black Beer'd,American Black Ale,12,0.068,N/A,24,Burn 'Em Brewing,Michigan City,IN
Mr. Tea,Fruit / Vegetable Beer,12,0.078,N/A,24,Burn 'Em Brewing,Michigan City,IN
Pale Alement,American Pale Ale (APA),12,0.055,40,24,Burn 'Em Brewing,Michigan City,IN
Hopkick Dropkick,American Double / Imperial IPA,8,0.099,115,24,Burn 'Em Brewing,Michigan City,IN
Kreamed Corn,Cream Ale,12,0.06,N/A,24,Burn 'Em Brewing,Michigan City,IN
Coconoats,American Pale Wheat Ale,12,0.065,N/A,24,Burn 'Em Brewing,Michigan City,IN
Joey Wheat,American Pale Wheat Ale,11.2,0.07%,16,24,Burn 'Em Brewing,Michigan City,IN
3:33 Black IPA,American IPA,12,0.072,86,24,Burn 'Em Brewing,Michigan City,IN
MCA,American IPA,12,0.068,N/A,24,Burn 'Em Brewing,Michigan City,IN
Pale Alement,American Pale Ale (APA),12,0.055,40,24,Burn 'Em Brewing,Michigan City,IN
Couch Select Lager,American Pale Lager,12,0.05,14,197,Burnside Brewing Co.,Portland,OR
Mucho Aloha Hawaiian Pale Ale,American Pale Ale (APA),12,0.056,36,517,Butcher's Brewing,Carlsbad,CA
Heinnieweisse Weissebier,Hefeweizen,12,0.05%,N/A,556,Butternuts Beer and Ale,Garrattsville,NY
Snapperhead IPA,American IPA,12,0.068,N/A,556,Butternuts Beer and Ale,Garrattsville,NY
Moo Thunder Stout,Milk / Sweet Stout,12,0.049,N/A,556,Butternuts Beer and Ale,Garrattsville,NY
Porkslap Pale Ale,American Pale Ale (APA),12,0.04%,N/A,556,Butternuts Beer and Ale,Garrattsville,NY
Blackbeard,American Double / Imperial Stout,12,0.093,N/A,5,COAST Brewing Company,Charleston,SC
Rye Knot,American Brown Ale,12,0.062,N/A,5,COAST Brewing Company,Charleston,SC
Dead Arm,American Pale Ale (APA),12,0.06,N/A,5,COAST Brewing Company,Charleston,SC
32°/50° Kölsch,Kölsch,12,0.048,N/A,5,COAST Brewing Company,Charleston,SC
HopArt,American IPA,12,0.077,N/A,5,COAST Brewing Company,Charleston,SC
Boy King,American Double / Imperial IPA,12,0.097,N/A,5,COAST Brewing Company,Charleston,SC
Gran Sport,American Porter,12,0.052,N/A,182,COOP Ale Works,Oklahoma City,OK
Horny Toad Cerveza,American Blonde Ale,12,0.053,25,182,COOP Ale Works,Oklahoma City,OK
Native Amber,American Amber / Red Ale,12,0.063,35,182,COOP Ale Works,Oklahoma City OK,
F5 IPA,American IPA,12,0.07%,100,182,COOP Ale Works,Oklahoma City,OK
Native Amber (2013),American Amber / Red Ale,12,0.063,35,182,COOP Ale Works,Oklahoma City,OK
Horny Toad Cerveza (2013),American Blonde Ale,12,0.053,25,182,COOP Ale Works,Oklahoma City,OK
Hopportunity Knocks IPA,American IPA,12,0.07%,100,155,Caldera Brewing Company,Ashland,OR
Pilot Rock Porter,American Porter,12,0.06,N/A,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale,American Pale Ale (APA),12,0.06%,55,155,Caldera Brewing Company,Ashland,OR
Lawnmower Lager,American Adjunct Lager,12,0.039,16,155,Caldera Brewing Company,Ashland,OR
Ashland Amber Ale (2009),American Amber / Red Ale,12,0.054,24,155,Caldera Brewing Company,Ashland OR,
Caldera IPA (2009),American IPA,16.9,0.061,94,155,Caldera Brewing Company,Ashland,OR
Caldera IPA (2007),American IPA,12,0.06%,94,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2010),American Pale Ale (APA),12,0.06%,55,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2009),American Pale Ale (APA),12,0.056,55,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2005),American Pale Ale (APA),12,0.056,55,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2007),American Pale Ale (APA),12,0.056,55,155,Caldera Brewing Company,Ashland,OR
Caldera Pale Ale (2011),American Pale Ale (APA),12,0.056,55,155,Caldera Brewing Company,Ashland,OR
Ashland Amber Ale,American Amber / Red Ale,12,0.054,24,155,Caldera Brewing Company,Ashland,OR
Caldera IPA,American IPA,12,0.061,94,155,Caldera Brewing Company,Ashland,OR
Remain in Light,American Pilsner,12,0.05,N/A,178,Cambridge Brewing Company,Cambridge MA,
Flower Child (2014),American IPA,12,0.07%,N/A,178,Cambridge Brewing Company,Cambridge,MA
THP White (2006),Witbier,12,,N/A,497,Cans Bar and Canteen,Charlotte,NC
THP Amber (2006),American Amber / Red Ale,12,,N/A,497,Cans Bar and Canteen,Charlotte,NC
THP Light (2006),American Blonde Ale,12,,N/A,497,Cans Bar and Canteen,Charlotte,NC
THP Dark (2006),English Dark Mild Ale,12,,N/A,497,Cans Bar and Canteen,Charlotte,NC
Imperial Pumpkin Stout,Pumpkin Ale,12,0.099,43,230,Cape Ann Brewing Company,Gloucester,MA
Dead-Eye DIPA,American Double / Imperial IPA,12,0.09,130,230,Cape Ann Brewing Company,Gloucester,MA
Fisherman's IPA,American IPA,12,0.06%,64,230,Cape Ann Brewing Company,Gloucester,MA
Fisherman's Pils,German Pilsener,12,0.054,35,230,Cape Ann Brewing Company,Gloucester,MA
Fisherman's Brew,American Amber / Red Ale,12,0.06%,30,230,Cape Ann Brewing Company,Gloucester MA,
Cape Cod Red,American Amber / Red Ale,12,0.055,35,267,Cape Cod Beer,Hyannis,MA
Beach Blonde,American Blonde Ale,12,0.05%,10,267,Cape Cod Beer,Hyannis,MA
Dark Voyage Black IPA (2013),American Black Ale,12,0.065,80,192,Capital Brewery,Middleton,WI
Wisconsin Amber,Vienna Lager,12,0.052,28,192,Capital Brewery,Middleton,WI
Lake House,Munich Helles Lager,12,0.05%,18,192,Capital Brewery,Middleton,WI
Ghost Ship White IPA,American IPA,12,0.056,55,192,Capital Brewery,Middleton,WI
Lake House,Munich Helles Lager,12,0.046,18,192,Capital Brewery,Middleton,WI
Mutiny IPA,American IPA,12,0.062,70,192,Capital Brewery,Middleton,WI
Wisconsin Amber (1998),Vienna Lager,12,0.05%,N/A,192,Capital Brewery,Middleton,WI
Island Wheat,American Pale Wheat Ale,12,0.04%,N/A,192,Capital Brewery,Middleton,WI
Wisconsin Amber (2013),Vienna Lager,13.5,0.052,N/A,192,Capital Brewery,Middleton,WI
U.S. Pale Ale,American Pale Ale (APA),12,0.05,N/A,192,Capital Brewery,Middleton,WI
Supper Club Lager,American Pale Lager,16.9,,N/A,192,Capital Brewery,Middleton,WI
Carolina Lighthouse (2007),American Blonde Ale,12,0.04,N/A,504,Carolina Beer & Beverage,Mooresville NC,
Carolina Blonde (2006),American Blonde Ale,12,0.05%,N/A,504,Carolina Beer & Beverage,Mooresville NC,
Carolina Blonde Light (2005),American Blonde Ale,12,0.035,N/A,504,Carolina Beer & Beverage,Mooresville,NC
Santa's Secret,Winter Warmer,12,0.059,22,179,Carolina Brewery,Pittsboro,NC
Flagship IPA,English India Pale Ale (IPA),12,0.06%,N/A,179,Carolina Brewery,Pittsboro,NC
Sky Blue Golden Ale,Kölsch,12,0.051,N/A,179,Carolina Brewery,Pittsboro,NC
Epitome,American Black Ale,12,0.099,100,222,Carton Brewing Company,Atlantic Highlands,NJ
Monkey Chased the Weasel,Berliner Weissbier,12,0.039,9,222,Carton Brewing Company,Atlantic Highlands,NJ
077XX,American Double / Imperial IPA,12,0.078,80,222,Carton Brewing Company,Atlantic Highlands NJ,
Boat Beer,American IPA,12,0.042,35,222,Carton Brewing Company,Atlantic Highlands,NJ
Granny Smith Hard Apple Cider,Cider,12,0.069,N/A,404,Cascadia Ciderworks United,Portland,OR
Dry Hard Apple Cider,Cider,12,0.069,N/A,404,Cascadia Ciderworks United,Portland,OR
Farmer Ted's Cream Ale,Cream Ale,12,0.056,N/A,331,Catawba Brewing Company,Morganton,NC
